[523/540] g8_social-studies_8.9C_2014_q21
[524/540] g8_social-studies_8.9C_2013_q4
[525/540] g8_social-studies_8.16A_2015_q36
[526/540] g8_social-studies_8.16B_2025_q8
[527/540] g8_social-studies_8.16B_2025_q30
[528/540] g8_social-studies_8.16B_2024_q12
[529/540] g8_social-studies_8.16B_2022_q31
[530/540] g8_social-studies_8.16B_2021_q5
[531/540] g8_social-studies_8.16B_2019_q3
[532/540] g8_social-studies_8.16B_2018_q34
[533/540] g8_social-studies_8.16B_2017_q26
[534/540] g8_social-studies_8.16B_2016_q2
[535/540] g8_social-studies_8.16B_2015_q33
[536/540] g8_social-studies_8.16B_2014_q1
[537/540] g8_social-studies_8.16B_2013_q19
[538/540] g8_social-studies_8.16B_2013_q13
[539/540] g8_social-studies_8.26B_2022_q5
[540/540] g8_social-studies_8.26B_2014_q17
Wrote 540 items to C:\Users\Casa-Desktop\Downloads\staar_first3_demo\collections\grade-8\social-studies\data\staar_catalog.json
